date,site,temp_celcius,GPS_coordinates
7/1/13,Ngermid,30.77,7o 19.373' N; 134o 29.635' E
7/2/13,Ngermid,30.78,7o 19.373' N; 134o 29.635' E
7/3/13,Ngermid,30.83,7o 19.373' N; 134o 29.635' E
7/4/13,Ngermid,30.83,7o 19.373' N; 134o 29.635' E
7/5/13,Ngermid,30.84,7o 19.373' N; 134o 29.635' E
7/6/13,Ngermid,30.87,7o 19.373' N; 134o 29.635' E
7/7/13,Ngermid,30.95,7o 19.373' N; 134o 29.635' E
7/8/13,Ngermid,31.1,7o 19.373' N; 134o 29.635' E
7/9/13,Ngermid,31.24,7o 19.373' N; 134o 29.635' E
7/10/13,Ngermid,31.29,7o 19.373' N; 134o 29.635' E
7/11/13,Ngermid,31.3,7o 19.373' N; 134o 29.635' E
7/12/13,Ngermid,31.28,7o 19.373' N; 134o 29.635' E
7/13/13,Ngermid,31.25,7o 19.373' N; 134o 29.635' E
7/14/13,Ngermid,31.32,7o 19.373' N; 134o 29.635' E
7/15/13,Ngermid,31.27,7o 19.373' N; 134o 29.635' E
7/16/13,Ngermid,31.23,7o 19.373' N; 134o 29.635' E
7/17/13,Ngermid,31.24,7o 19.373' N; 134o 29.635' E
7/18/13,Ngermid,31.29,7o 19.373' N; 134o 29.635' E
7/19/13,Ngermid,31.25,7o 19.373' N; 134o 29.635' E
7/20/13,Ngermid,31.16,7o 19.373' N; 134o 29.635' E
7/21/13,Ngermid,31.12,7o 19.373' N; 134o 29.635' E
7/22/13,Ngermid,31.18,7o 19.373' N; 134o 29.635' E
7/23/13,Ngermid,31.18,7o 19.373' N; 134o 29.635' E
7/24/13,Ngermid,31.14,7o 19.373' N; 134o 29.635' E
7/25/13,Ngermid,31.05,7o 19.373' N; 134o 29.635' E
7/26/13,Ngermid,30.92,7o 19.373' N; 134o 29.635' E
7/27/13,Ngermid,30.84,7o 19.373' N; 134o 29.635' E
7/28/13,Ngermid,30.8,7o 19.373' N; 134o 29.635' E
7/29/13,Ngermid,30.69,7o 19.373' N; 134o 29.635' E
7/30/13,Ngermid,30.48,7o 19.373' N; 134o 29.635' E
7/31/13,Ngermid,30.39,7o 19.373' N; 134o 29.635' E
8/1/13,Ngermid,30.44,7o 19.373' N; 134o 29.635' E
8/2/13,Ngermid,30.48,7o 19.373' N; 134o 29.635' E
8/3/13,Ngermid,30.52,7o 19.373' N; 134o 29.635' E
8/4/13,Ngermid,30.54,7o 19.373' N; 134o 29.635' E
8/5/13,Ngermid,30.46,7o 19.373' N; 134o 29.635' E
8/6/13,Ngermid,30.5,7o 19.373' N; 134o 29.635' E
8/7/13,Ngermid,30.55,7o 19.373' N; 134o 29.635' E
8/8/13,Ngermid,30.5,7o 19.373' N; 134o 29.635' E
8/9/13,Ngermid,30.32,7o 19.373' N; 134o 29.635' E
8/10/13,Ngermid,30.18,7o 19.373' N; 134o 29.635' E
8/11/13,Ngermid,30.23,7o 19.373' N; 134o 29.635' E
8/12/13,Ngermid,30.31,7o 19.373' N; 134o 29.635' E
8/13/13,Ngermid,30.4,7o 19.373' N; 134o 29.635' E
8/14/13,Ngermid,30.47,7o 19.373' N; 134o 29.635' E
8/15/13,Ngermid,30.5,7o 19.373' N; 134o 29.635' E
8/16/13,Ngermid,30.6,7o 19.373' N; 134o 29.635' E
8/17/13,Ngermid,30.62,7o 19.373' N; 134o 29.635' E
8/18/13,Ngermid,30.56,7o 19.373' N; 134o 29.635' E
8/19/13,Ngermid,30.6,7o 19.373' N; 134o 29.635' E
8/20/13,Ngermid,30.61,7o 19.373' N; 134o 29.635' E
8/21/13,Ngermid,30.55,7o 19.373' N; 134o 29.635' E
8/22/13,Ngermid,30.55,7o 19.373' N; 134o 29.635' E
8/23/13,Ngermid,30.42,7o 19.373' N; 134o 29.635' E
8/24/13,Ngermid,30.18,7o 19.373' N; 134o 29.635' E
8/25/13,Ngermid,29.88,7o 19.373' N; 134o 29.635' E
8/26/13,Ngermid,29.75,7o 19.373' N; 134o 29.635' E
8/27/13,Ngermid,29.84,7o 19.373' N; 134o 29.635' E
8/28/13,Ngermid,29.89,7o 19.373' N; 134o 29.635' E
8/29/13,Ngermid,29.96,7o 19.373' N; 134o 29.635' E
8/30/13,Ngermid,30.1,7o 19.373' N; 134o 29.635' E
8/31/13,Ngermid,30.23,7o 19.373' N; 134o 29.635' E
9/1/13,Ngermid,30.38,7o 19.373' N; 134o 29.635' E
9/2/13,Ngermid,30.51,7o 19.373' N; 134o 29.635' E
9/3/13,Ngermid,30.61,7o 19.373' N; 134o 29.635' E
9/4/13,Ngermid,30.66,7o 19.373' N; 134o 29.635' E
9/5/13,Ngermid,30.68,7o 19.373' N; 134o 29.635' E
9/6/13,Ngermid,30.62,7o 19.373' N; 134o 29.635' E
9/7/13,Ngermid,30.62,7o 19.373' N; 134o 29.635' E
9/8/13,Ngermid,30.59,7o 19.373' N; 134o 29.635' E
9/9/13,Ngermid,30.59,7o 19.373' N; 134o 29.635' E
9/10/13,Ngermid,30.56,7o 19.373' N; 134o 29.635' E
9/11/13,Ngermid,30.52,7o 19.373' N; 134o 29.635' E
9/12/13,Ngermid,30.58,7o 19.373' N; 134o 29.635' E
9/13/13,Ngermid,30.65,7o 19.373' N; 134o 29.635' E
9/14/13,Ngermid,30.74,7o 19.373' N; 134o 29.635' E
9/15/13,Ngermid,30.75,7o 19.373' N; 134o 29.635' E
9/16/13,Ngermid,30.75,7o 19.373' N; 134o 29.635' E
9/17/13,Ngermid,30.82,7o 19.373' N; 134o 29.635' E
9/18/13,Ngermid,30.95,7o 19.373' N; 134o 29.635' E
9/19/13,Ngermid,30.94,7o 19.373' N; 134o 29.635' E
9/20/13,Ngermid,30.84,7o 19.373' N; 134o 29.635' E
9/21/13,Ngermid,30.71,7o 19.373' N; 134o 29.635' E
9/22/13,Ngermid,30.59,7o 19.373' N; 134o 29.635' E
9/23/13,Ngermid,30.48,7o 19.373' N; 134o 29.635' E
9/24/13,Ngermid,30.4,7o 19.373' N; 134o 29.635' E
9/25/13,Ngermid,30.36,7o 19.373' N; 134o 29.635' E
9/26/13,Ngermid,30.25,7o 19.373' N; 134o 29.635' E
9/27/13,Ngermid,30.05,7o 19.373' N; 134o 29.635' E
9/28/13,Ngermid,29.93,7o 19.373' N; 134o 29.635' E
9/29/13,Ngermid,29.51,7o 19.373' N; 134o 29.635' E
9/30/13,Ngermid,29.05,7o 19.373' N; 134o 29.635' E
10/1/13,Ngermid,29,7o 19.373' N; 134o 29.635' E
10/2/13,Ngermid,29.14,7o 19.373' N; 134o 29.635' E
10/3/13,Ngermid,29.27,7o 19.373' N; 134o 29.635' E
10/4/13,Ngermid,29.24,7o 19.373' N; 134o 29.635' E
10/5/13,Ngermid,29.14,7o 19.373' N; 134o 29.635' E
10/6/13,Ngermid,28.99,7o 19.373' N; 134o 29.635' E
10/7/13,Ngermid,28.78,7o 19.373' N; 134o 29.635' E
10/8/13,Ngermid,28.63,7o 19.373' N; 134o 29.635' E
10/9/13,Ngermid,28.38,7o 19.373' N; 134o 29.635' E
10/10/13,Ngermid,28.22,7o 19.373' N; 134o 29.635' E
10/11/13,Ngermid,28.24,7o 19.373' N; 134o 29.635' E
10/12/13,Ngermid,28.27,7o 19.373' N; 134o 29.635' E
10/13/13,Ngermid,28.44,7o 19.373' N; 134o 29.635' E
10/14/13,Ngermid,28.61,7o 19.373' N; 134o 29.635' E
