Location,Nearshore or offshore,Coordinates,Number on Fig 1a map,Minumum depth,Maximum depth,Sample number,Host family,Host genus,Host species,Symbiont transmission mode,Year collected,Dominant symbiont species
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,150,Acroporidae,Acropora,carduus,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,c,3,1,3,146,Acroporidae,Acropora,carduus,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,34,Acroporidae,Acropora,muricata,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,35,Acroporidae,Acropora,muricata,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,43,Acroporidae,Acropora,muricata,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,44,Acroporidae,Acropora,muricata,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,50,Acroporidae,Acropora,muricata,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,56,Acroporidae,Acropora,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,57,Acroporidae,Acropora,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,65,Acroporidae,Acropora,,Horizontal,2013,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,423,Acroporidae,Acropora,carduus,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,368,Acroporidae,Acropora,elseyi,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,370,Acroporidae,Acropora,kirstyae,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,365,Acroporidae,Acropora,longicyathus,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,413,Acroporidae,Acropora,microphthalma,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,374,Acroporidae,Acropora,microphthalma,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,425,Acroporidae,Acropora,muricata,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,464,Acroporidae,Acropora,vaughani,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,422,Acroporidae,Acropora,vaughani,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,399,Acroporidae,Acropora,vaughani/burg,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,336,Acroporidae,Acropora,muricata/brug..,Horizontal,2009,Cladocopium madreporum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,392,Acroporidae,Acropora,subglabra/longicyathus?,Horizontal,2009,Cladocopium madreporum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,356,Acroporidae,Acropora,brueggemanni,Horizontal,2009,Cladocopium madreporum
West Channel Coral Flat,offshore,"7°54.551"" N, 134°46.688"" E",5,2,10,5,Acroporidae,Acropora,muricata,Horizontal,2013,Durusdinium trenchii
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,184,Acroporidae,Acropora,caroliniana,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,238,Acroporidae,Acropora,cerealis,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,183,Acroporidae,Acropora,divaricata,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
