Natal_location,Transplant_location,Host_genus,Host_species,Sample,Timepoint,Date,D_CT,C_CT
Near-shore,Offshore,Acropora,muricata,NA1,1Y,Mar-14,18.87566312,25.79661051
Near-shore,Offshore,Acropora,muricata,NA2,1Y,Mar-14,18.90431341,22.86643092
Near-shore,Offshore,Acropora,muricata,NA3,1Y,Mar-14,18.81497701,25.02942181
Near-shore,Offshore,Acropora,muricata,NA5,1Y,Mar-14,19.93588448,27.80690002
Near-shore,Offshore,Acropora,muricata,NA6,1Y,Mar-14,18.01649094,25.30423609
Near-shore,Offshore,Acropora,muricata,NA7,1Y,Mar-14,18.68146515,23.95821826
Near-shore,Offshore,Acropora,muricata,NA1,2Y,Mar-14,22.08425713,16.66469256
Near-shore,Offshore,Acropora,muricata,NA2,2Y,Mar-14,26.66356532,15.9341898
Near-shore,Offshore,Acropora,muricata,NA3,2Y,Mar-14,24.39354897,16.62723668
Near-shore,Offshore,Acropora,muricata,NA6,2Y,Mar-14,23.82541784,16.7012647
Near-shore,Offshore,Acropora,muricata,NA7,2Y,Mar-14,29.88376172,17.85757637
Near-shore,Offshore,Acropora,muricata,NA8,2Y,Mar-14,19.65648524,17.94908969
Near-shore,Offshore,Acropora,muricata,NA1,6M,Mar-14,18.86270587,25.90322749
Near-shore,Offshore,Acropora,muricata,NA2,6M,Mar-14,19.62167072,27.89530277
Near-shore,Offshore,Acropora,muricata,NA3,6M,Mar-14,19.65758324,27.8837471
Near-shore,Offshore,Acropora,muricata,NA4,6M,Mar-14,18.0486749,25.27909279
Near-shore,Offshore,Acropora,muricata,NA6,6M,Mar-14,18.66806539,26.99778684
Near-shore,Offshore,Acropora,muricata,NA7,6M,Mar-14,18.85681057,27.87819195
Near-shore,Offshore,Acropora,muricata,NA8,6M,Mar-14,21.41367213,29.89916611
Near-shore,Offshore,Acropora,muricata,NA1,T0,Mar-14,18.52733548,30.76125145
Near-shore,Offshore,Coelastrea,aspera,NG1,1Y,Mar-14,23.64790382,22.53034051
Near-shore,Offshore,Coelastrea,aspera,NG2,1Y,Mar-14,24.15008259,31.0583086
Near-shore,Offshore,Coelastrea,aspera,NG3,1Y,Mar-14,19.739453,30.84731738
Near-shore,Offshore,Coelastrea,aspera,NG4,1Y,Mar-14,24.8204902,28.10344823
Near-shore,Offshore,Coelastrea,aspera,NG5,1Y,Mar-14,17.72012075,29.48359426
Near-shore,Offshore,Coelastrea,aspera,NG6,1Y,Mar-14,18.25954247,29.63644218
Near-shore,Offshore,Coelastrea,aspera,NG7,1Y,Mar-14,18.68531927,29.7454408
Near-shore,Offshore,Coelastrea,aspera,NG7,1Y,Mar-14,20.69860649,32.31613159
Near-shore,Offshore,Coelastrea,aspera,NG8,1Y,Mar-14,18.86620458,28.96306515
Near-shore,Offshore,Coelastrea,aspera,NG1,2Y,Mar-14,20.69084091,22.53513718
Near-shore,Offshore,Coelastrea,aspera,NG2,2Y,Mar-14,20.37871234,29.81883876
Near-shore,Offshore,Coelastrea,aspera,NG3,2Y,Mar-14,21.52245967,30.62145551
Near-shore,Offshore,Coelastrea,aspera,NG4,2Y,Mar-14,19.88316027,28.76837349
Near-shore,Offshore,Coelastrea,aspera,NG5,2Y,Mar-14,18.78056908,27.87590917
Near-shore,Offshore,Coelastrea,aspera,NG6,2Y,Mar-14,21.92010053,23.38072077
Near-shore,Offshore,Coelastrea,aspera,NG7,2Y,Mar-14,18.92562103,24.46302795
Near-shore,Offshore,Coelastrea,aspera,NG8,2Y,Mar-14,19.43163109,27.85097377
Near-shore,Offshore,Coelastrea,aspera,NG1,6M,Mar-14,23.19066525,32.71081352
Near-shore,Offshore,Coelastrea,aspera,NG3,6M,Mar-14,18.85318057,28.26164055
Near-shore,Offshore,Coelastrea,aspera,NG4,6M,Mar-14,18.89600817,0
Near-shore,Offshore,Coelastrea,aspera,NG5,6M,Mar-14,17.4864502,27.41157627
Near-shore,Offshore,Coelastrea,aspera,NG6,6M,Mar-14,18.23949369,26.39066823
Near-shore,Offshore,Coelastrea,aspera,NG7,6M,Mar-14,16.16861725,27.8793443
Near-shore,Offshore,Coelastrea,aspera,NG8,6M,Mar-14,21.76757813,31.17430592
Near-shore,Offshore,Cyphastrea,chalcidium ,NC1,1Y,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC1,1Y,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC2,1Y,Mar-15,15.83053112,32.66682053
Near-shore,Offshore,Cyphastrea,chalcidium ,NC2,1Y,Mar-15,17.85789363,33.63909404
Near-shore,Offshore,Cyphastrea,chalcidium ,NC3,1Y,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC4,1Y,Mar-15,30.89508057,26.72600619
Near-shore,Offshore,Cyphastrea,chalcidium ,NC4,1Y,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC5,1Y,Mar-15,17.93360774,28.44881058
Near-shore,Offshore,Cyphastrea,chalcidium ,NC6,1Y,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC7,1Y,Mar-15,22.64135933,0
Near-shore,Offshore,Cyphastrea,chalcidium ,NC8,1Y,Mar-15,17.3252271,31.50796509
Near-shore,Offshore,Cyphastrea,chalcidium ,NC8,1Y,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC1,6M,Mar-15,16.85801442,30.21565533
Near-shore,Offshore,Cyphastrea,chalcidium ,NC1,6M,Mar-15,22.13602511,0
Near-shore,Offshore,Cyphastrea,chalcidium ,NC2,6M,Mar-15,16.48854256,28.71584892
Near-shore,Offshore,Cyphastrea,chalcidium ,NC2,6M,Mar-15,17.17616336,31.7405014
Near-shore,Offshore,Cyphastrea,chalcidium ,NC3,6M,Mar-15,17.93202718,33.10422643
Near-shore,Offshore,Cyphastrea,chalcidium ,NC3,6M,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC4,6M,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC4,6M,Mar-15,,
Near-shore,Offshore,Cyphastrea,chalcidium ,NC5,6M,Mar-15,17.85423597,29.94485283
