host_genus,name,full_name,transect,colony,symbiont_spp,year,C_CT,D_CT
Acropora,1_21,Acropora 1_21,1,21,C. 21,2013,21.83448219,46.98024368
Acropora,1_21,Acropora 1_21,1,21,C. 21,2017O,22.46002388,40.89772034
Acropora,1_21,Acropora 1_21,1,21,C. 21,2016,24.8900547,
Acropora,1_21,Acropora 1_21,1,21,C. 21,2017O,24.94708443,
Acropora,2_2,Acropora 2_2,2,2,C. 21,2017O,17.7202816,33.64482498
Acropora,2_2,Acropora 2_2,2,2,C. 21,2013,17.92900658,37.51251984
Acropora,2_2,Acropora 2_2,2,2,C. 21,2015,18.84516335,36.08209991
Acropora,2_2,Acropora 2_2,2,2,C. 21,2017M,21.47127533,36.16318512
Acropora,2_2,Acropora 2_2,2,2,C. 21,2016,22.9264431,
Acropora,2_3,Acropora 2_3,2,3,C. 21,2017O,15.79627705,34.15530396
Acropora,2_3,Acropora 2_3,2,3,C. 21,2013,15.89393139,40.45927429
Acropora,2_3,Acropora 2_3,2,3,C. 21,2017M,22.93486977,36.5582695
Acropora,2_3,Acropora 2_3,2,3,C. 21,2015,23.93941689,
Acropora,2_3,Acropora 2_3,2,3,C. 21,2016,24.84708977,37.05164719
Acropora,3_11,Acropora 3_11,3,11,C. madreporum,2013,20.91664696,41.07390594
Acropora,3_11,Acropora 3_11,3,11,C. madreporum,2017M,21.79614258,32.84321976
Acropora,3_11,Acropora 3_11,3,11,C. madreporum,2016,22.7980175,37.15209198
Acropora,3_11,Acropora 3_11,3,11,C. madreporum,2017O,23.41830254,37.35647964
Acropora,3_11,Acropora 3_11,3,11,C. madreporum,2018,24.94997597,37.81657791
Coelastrea,1_24,Coelastrea 1_24,1,24,C. madreporum,2016,22.36057854,46.75214005
Coelastrea,1_24,Coelastrea 1_24,1,24,C. madreporum,2017M,23.83462715,
Coelastrea,1_24,Coelastrea 1_24,1,24,C. madreporum,2013,27.6460743,
Diploastrea,3_41,Diploastrea 3_41,3,41,C. madreporum,2018,26.92191124,
Diploastrea,3_40,Diploastrea 3_40,3,40,C. madreporum,2018,24.51221943,
Diploastrea,3_41,Diploastrea 3_41,3,41,C. madreporum,2016,23.88239479,37.4368515
Diploastrea,3_41,Diploastrea 3_41,3,41,C. madreporum,2014,26.91163635,
Diploastrea,3_41,Diploastrea 3_41,3,41,C. madreporum,2018,26.92191124,
Diploastrea,3_41,Diploastrea 3_41,3,41,C. madreporum,2015,28.07258415,
Diploastrea,3_41,Diploastrea 3_41,3,41,C. madreporum,2017M,29.92079926,38.57652283
Favia,1_17,Favia 1_17,1,17,C. madreporum,2017M,22.90595436,
Favia,1_27,Favia 1_27,1,27,C. madreporum,2017M,23.79107666,37.38513947
Favia,1_9,Favia 1_9,1,9,C. madreporum,2013,20.07800102,41.10417557
Favia,1_9,Favia 1_9,1,9,C. madreporum,2017O,24.96986961,36.62356949
Favia,3_50,Favia 3_50,3,50,C. madreporum,2015,17.956213,37.81388092
Favia,3_50,Favia 3_50,3,50,C. madreporum,2017M,23.82011604,35.95080185
Favia,3_50,Favia 3_50,3,50,C. madreporum,2013,23.90752602,39.96977615
Favia,3_50,Favia 3_50,3,50,C. madreporum,2017O,24.92828369,35.50209045
Favia,3_50,Favia 3_50,3,50,C. madreporum,2016,31.80767632,42.54371897
Favites,1_41,Favites 1_41,1,41,C. madreporum,2017O,23.93678856,36.73555374
